City,State,Query,Coordinates,Latitude,Longitude
Adana,Karaisalı,Adana Karaisalı,"37.2544794,35.0586443",37.2544794,35.0586443
Adana,Aladağ,Adana Aladağ,"37.5492307,35.3916497",37.5492307,35.3916497
Adana,Karataş,Adana Karataş,"36.6687743,35.0853192",36.6687743,35.0853192
Adana,Yüreğir,Adana Yüreğir,"36.9975235,35.2054963",36.9975235,35.2054963
Adana,Yumurtalık,Adana Yumurtalık,"36.7675376,35.7301842",36.7675376,35.7301842
Adana,Tufanbeyli,Adana Tufanbeyli,"38.2610192,36.2177952",38.2610192,36.2177952
Adana,Seyhan,Adana Seyhan,"36.9975235,35.2054963",36.9975235,35.2054963
Adana,Sarıçam,Adana Sarıçam,"37.1196758,35.3946598",37.1196758,35.3946598
Adana,Pozantı,Adana Pozantı,"37.4276289,34.8656354",37.4276289,34.8656354
Adana,Kozan,Adana Kozan,"37.4533428,35.7859651",37.4533428,35.7859651
Adana,İmamoğlu,Adana İmamoğlu,"37.8154717,35.9078878",37.8154717,35.9078878
Adana,Feke,Adana Feke,"37.8154717,35.9078878",37.8154717,35.9078878
Adana,Çukurova,Adana Çukurova,"36.9975235,35.2054963",36.9975235,35.2054963
Adana,Ceyhan,Adana Ceyhan,"37.0310162,35.8102248",37.0310162,35.8102248
Adana,Saimbeyli,Adana Saimbeyli,"37.9861766,36.0872112",37.9861766,36.0872112
Adıyaman,Sincik,Adıyaman Sincik,"38.0323731,38.6289568",38.0323731,38.6289568
Adıyaman,Tut,Adıyaman Tut,"37.8208931,37.8928276",37.8208931,37.8928276
Adıyaman,Samsat,Adıyaman Samsat,"37.5785197,38.4788922",37.5785197,38.4788922
Adıyaman,Gerger,Adıyaman Gerger,"38.0272302,39.0291908",38.0272302,39.0291908
Adıyaman,Kahta,Adıyaman Kahta,"37.7831065,38.6142198",37.7831065,38.6142198
Adıyaman,Gölbaşı,Adıyaman Gölbaşı,"37.7500529,37.5797074",37.7500529,37.5797074
Adıyaman,Çelikhan,Adıyaman Çelikhan,"38.0321928,38.2304339",38.0321928,38.2304339
Adıyaman,Besni,Adıyaman Besni,"37.600211,37.7060462",37.600211,37.7060462
Adıyaman,Merkez,Adıyaman Merkez,"37.7047684,38.0738102",37.7047684,38.0738102
Afyonkarahisar,Kızılören,Afyonkarahisar Kızılören,"38.2577107,30.1471638",38.2577107,30.1471638
Afyonkarahisar,Sultandağı,Afyonkarahisar Sultandağı,"38.5292327,31.224588",38.5292327,31.224588
Afyonkarahisar,Şuhut,Afyonkarahisar Şuhut,"38.5331088,30.5457029",38.5331088,30.5457029
Afyonkarahisar,Sinanpaşa,Afyonkarahisar Sinanpaşa,"38.7442191,30.2389957",38.7442191,30.2389957
Afyonkarahisar,Sandıklı,Afyonkarahisar Sandıklı,"38.4562083,30.2581313",38.4562083,30.2581313
Afyonkarahisar,Merkez,Afyonkarahisar Merkez,"38.7742105,30.3576188",38.7742105,30.3576188
Afyonkarahisar,İhsaniye,Afyonkarahisar İhsaniye,"39.0290746,30.4137797",39.0290746,30.4137797
Afyonkarahisar,İscehisar,Afyonkarahisar İscehisar,"38.8623208,30.7427313",38.8623208,30.7427313
Afyonkarahisar,Evciler,Afyonkarahisar Evciler,"38.0389123,29.8862364",38.0389123,29.8862364
Afyonkarahisar,Başmakçı,Afyonkarahisar Başmakçı,"37.8881529,29.9961533",37.8881529,29.9961533
Afyonkarahisar,Emirdağ,Afyonkarahisar Emirdağ,"39.0130658,31.1805737",39.0130658,31.1805737
Afyonkarahisar,Dinar,Afyonkarahisar Dinar,"38.0692389,30.1505599",38.0692389,30.1505599
Afyonkarahisar,Dazkırı,Afyonkarahisar Dazkırı,"37.9197429,29.8573099",37.9197429,29.8573099
Afyonkarahisar,Çobanlar,Afyonkarahisar Çobanlar,"38.7007602,30.7686064",38.7007602,30.7686064
Afyonkarahisar,Çay,Afyonkarahisar Çay,"38.5922909,31.0147338",38.5922909,31.0147338
